::1 - - [21/Apr/2021:18:26:01 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:26:06 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Piemonte&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:26:09 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:29:11 +0000] "GET /rest/api/subapp/board/rdo?rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:30:34 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:30:35 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:31:04 +0000] "GET /rest/api/subapp/board/rdo?rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:31:45 +0000] "GET /rest/api/subapp/board/rdo?rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:31:46 +0000] "GET /rest/api/subapp/board/rdo?rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:03 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:04 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:04 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:05 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:05 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:05 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:32:06 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:33:36 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:47 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:48 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:49 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:50 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:54 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:55 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:55 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:56 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:33:57 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:34:51 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:34:51 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [21/Apr/2021:18:34:52 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:35:38 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterest=Lombardia&imports=oltre%20500.000%E2%82%AC&subCategory=Divise%20da%20lavoro,%20camici,%20calzature HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:15 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:17 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:18 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:18 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:19 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:37:19 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:39:40 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 500 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:40:40 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:40:46 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8fa HTTP/1.1" 200 109 "-" "PostmanRuntime/7.26.10"
::1 - - [21/Apr/2021:18:40:54 +0000] "GET /rest/api/subapp/board/rdo?regionOfInterestId=600c38d7cc05b40fac7bb6c6&imports=oltre%20500.000%E2%82%AC&rdoId=602eba1483c76614b8ce2d8f HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.10"
